theme,text,rating
про сисадминов,"Если тебя друзья величают хакером знай ламер ты ибо настоящего хакера не видноне слышно и нет у него никаких друзей кроме компьютера.

",31
про сисадминов,"Как сильно обидеть админа?
Сказать ему: Заходи гостем будешь!

",57
про сисадминов,"Забрали сисадмина в армию.
Стоит он на посту.
Вдруг - шаги.
- Пароль! - в ответ тишина.
- Пароль!!! - нет ответа.
Сисадмин снимает с плеча автомат и разряжает его в неизвестного.
Затем громко обявляет:
- User Unknown: Access Denied...

",30
про сисадминов,"Смотрите продолжение эпопеи Матрица:
Матрица 3 - Некорректный выход
Матрица 4 - Scandisk
Матрица 5 - format c:
Матрица 6 - unformat c:
Матрица 7 - UNACCESSIBLE BOOT DEVICE
Матрица 8 - Memory test failed
Матрица 9 - З@ло уже это китайское железо!

",1
про сисадминов,"Hа фирму пришла работать новая мышка. В перерыве она шушукается с клавиатурой:
- Слушай Клав а кто у нас на фирме самый главный шеф? А то начальства столько не разобрать...
- Hу-у-у ты даешь... Сама-то как думаешь?
- Hу Сервер наверное...
- Да ну ты что. Тоже на зарплате. Свой парень когда выпьет.
- Hу тогда Принтер... Цветной лазерный сетевой...
- Hет Мышь опять мимо. Ты жизни еще не знаешь. Вот видишь на тумбочке маленький с красными глазками? Модем. Вот он-то и есть тут самый главный.
- Он самый умный да?
- Шшш... Да не. Он тупой и дешевый и виснет постоянно... Hо у него та-а-акие связи!!!

",35
про сисадминов,"Серьезная организация возьмет на высокооплачиваемую работу хакера со стажем. Резюме просим оставить на главной страничке www.microsoft.com

",30
про сисадминов,"Стоят два сервера в стойке, один другому:
- У тебя что?
- Картинки, девочки, чат, приколы. А у тебя?
- Сайт Оболони, Немирова, Шустова и Колбасной фабрики.
- Так это, с меня девочки и приколы, и зависнем до утра?

",24
про сисадминов,"Призвали как-то одного волосатого админа в армию служить, на границу.
Поставили его в дозор. Вдруг админ слышит шаги...
- Стой! Пароль!...
Ответ из темноты:
- Владивосток...
- Логин ...
- ????!!!......

",-3
про сисадминов,"- По-моему, наш сисадмин решила начать жизнь с белого листа.
- С чего ты так решил?
- Он сменил все свои пароли.

",6
про сисадминов,"Не оскудеет душа Админская.
Картина маслом на масле захожу в отдел, сидит админ и ноготки на ногах обжимом стрижет.
Не могу пишу и плачу, этаже додуматься надо.

",12
про сисадминов,"Нарко-m@n: слышь скачал песню из чипа и дейла
_to6ask8: давай сюда
Нарко-m@n: ща подожди 30 сек
_to6ask8: чё, под рапиду косиш сцука?

",1
про сисадминов,"Купи компьютер с четырехядерным процессором (130Вт) и двумя видеокартами, работающими в совместном режиме (350Вт). И откажись на зиму от обогревателя в своей квартире.

",19
про евреев,"Поймал еврей золотую рыбку.
Держит её в руках. Рыбка смотрит на него и так жалобно спрашивает:
- Еврей?
- Да.
- Убей сразу!!!!!
",57
про евреев,"Двое пьяных прут вечером по улице. Один:
- Вась ! Видишь - впереди еврей идет. Давай ему морду набьем !
- Да ну ! Он здоровый, еще нам набьет !
- А нам то за что ?!

",16
про евреев,"Штирлиц идет по коридору, навстречу ему Мюллер:
- Штирлиц, вы - еврей?
- Никак нет, господин группенфюрер, я - русский!
- А-а, вот вы и попались, Штирлиц!

",10
про евреев,"Стоит еврей и думает. Подходит к нему другой еврей и спрашивает:- О чём думаешь?- Да, думаю зачем в слове ""Хайм"" буква ""Р"".- Там же нет этой буквы.- А что будет если её туда поставить?- А зачем?- Вот я и думаю - зачем?
",4
про евреев,"Война. Отправляет командир взвода Рабиновича в разведку.- Рабинович, пойдете в эту деревню и выясните какими силами мы можем наступать.- Я вас понял, я таки ушел. Рабинович шаркнул ножкой и отвалил. Через три дня возвращается грязный, измучанный.- Товарищ командир, я все разведал. Пехота не пройдет, надо посылать танки.- Почему? - удивляется командир.- Там такая злая собака!
",7
про евреев,"Два Еврея своими обрезами наводии страх на весь поселок.
",4
про евреев,"- Рабинович, займите рубль.- У кого?
",18
про евреев,"Начало двадцатого века. Старому еврею показывают, как пользоваться новинкой - телефоном.- Вот эту штучку берете одной рукой и подносите ко рту. Вот эту штучку берете другой рукой и подносите к уху.- Подождите, а таки как я буду разговаривать, если руки заняты?
",0
про евреев,"- Рабинович, на вас муха сидит.- Вы что, хотите сказать, что я г#вно?- Я ничего не хочу сказать, но муху не обманешь.
",15
про евреев,"- Абрам! Почему так криво идешь? - Чирий сел. - Как, на самом деле? - Нет, возле самого дела!
",11
про евреев,"Вбегает в дом возбужденная Сара и радостно кричит:- Абрам! Ты слышал новость! Соседские куры стали-таки нестись тухлыми яйцами!!! Абрам просиял, но потом вдруг помрачнел. Сара растерянно:- Ты чего, Абраша?- Так вот, значит, кто сорвал вчера сольный концерт нашего Изи!
",-1
про евреев,"Старый еврей возвращается домой расстроенный и говорит жене:- Ты знаешь, Сара, я только что был у врача, так вот, то что мы 30 лет принимали за оргазм, оказывается всего лишь приступ астмы.
",6
про евреев,"- Вы слышали, Рабиновича растреляли!- Как, опять?!- Тише, вот он идет.
",-1
про евреев,"Умер старый Изя. Из Израиля родственники шлют телеграмму: ""Изя всё"". А в ответ: ""Ох!""
",5
про евреев,"- Рабинович, вам не кажется, что ваш попугай немного картавит?- Ничего удивительного - у него и нос с горбинкой.
",2
про евреев,"Одесскому еврею-портному заказал клиент брюки. Пришел в назначенный срок - не готово. Через месяц - не готово. Еще через два - не готово. Только через полгода портной выдал ему готовые брюки. Клиент: - Господь Бог создал мир за семь дней, а вы какие-то брюки шили целых полгода!Еврей: - Таки вы посмотрите на этот мир, и вы посмотрите на эти брюки!
",9
про евреев,"Звонит еврей в цирк, а попадает в милицию:- Ало, это цирк?Мент решил тоже поприкалываться:- Да, это цирк.- А хохмочки сегодня будут?- Будут,только вы имя скажите.- Абрам Абрамыч.Через некоторое время приезжают и забирают еврея в ментуру. Отсидел он год. Вышел, и сноваповторяется старая ситуация:- Ало, это цирк?- Да.- А хохмочки будут?- Да, только вы имя свое скажите.- А.. А.. эту хохмочку я уже знаю...
",2
про евреев,"- Жора, как жили евреи в каменном веке?- Неважно!- Что так?!- А ты представь, обрезание и каменным топором!!!
",12
про евреев,"- Алло, господин Рабинович?- Да, а шо такое?- Это вас из банка звонят, у вас отрицательный баланс, - 500$!- Да? Шо вы говорите? А неделю назад посмотрите сколько было?- +500.- А две недели назад?- +1000.- А три недели?- +1500.- И что, я вам хоть раз позвонил?
",4
про евреев,"- Кто такой жид пархатый?- Летчик - еврей.
",4
медицинские,"СкороговоркаНа дворе - трава,На траве - дрова,На дровах - братва,У братвы - трава,Накурилась братва,Вся братва в дрова,Убойная трава.
",9
медицинские,"Во время штурма наркопритона был зверски убит прапорщик Петренко.Через три дня состояние прапорщика нормализовалось.
",10
медицинские,"Насилие в семье?Участковый от слова участие!Мы тоже хотим участвовать!
",-1
медицинские,"Узнаем, чем вы дышите. Обращаться на ближайший пост ГАИ.
",6
медицинские,"Ревнивый ГАИшник вернулся домой, там его встречает жена.- Ну, сейчас кому-то не поздоровится!– подумал он и заглядывает в ванную, - Так, никого...Подходит к шкафу: - Ну, если же ты тут – пеняй на себя! Хм...нет никого...Заглядывает за занавески – и там никого!Подходит к кровати. Из-под кровати высовывается рука со 100$ купюрой:- Странно, и тут никого!
",19
медицинские,"Пишет мать сыну письмо на зону:""Вот, сынок, нам и так жилось нелегко, а тут тебя ещё посадили, вообще трудно стало. Скоро огород перекапывать надо, затем картошку сажать, а некому!"" Сын, прочитав это, пишет матери ответ: ""Мать, огород копать не смей, а то такого накопаешь, тебя ещё посадят, и мне срок добавят!""Буквально через два дня мать пишет ответ: ""Сынок, приезжали мелиционеры, весь огород перекопали, ничего не нашли, уехали злые как собаки!""Сын: ""Мать, чем мог - тем помог, картошку посадите сами!""
",39
медицинские,"Сегодня на дорогах города введён новый план ""Перехват"".Работникам ГАИ надо срочно перехватить денег до зарплаты.
",-1
медицинские,"Мужик едет на иномарке со скоростью 100 кмч по трассе. Смотрит в зеркало заднего вида, догоняет его машина ГБДД и показывает остановиться. Ну он думает : машина новая, убегу, и ну ей давить: 150 км, 200 км, 250 км. Машина ГБДД не отстает.Останавливается. Из машины ГБДД выходит полковник, ему два дня до пенсии и говорит: если правдиво отбрешишся, почему убегал, отпущу.Ну мужик и говорит: да вот неделю назад жена ушла к вашему сотруднику, глянул на Вашу машину, думал ОН догоняет, жену вернуть.
",12
медицинские,"Милиционер (М) подходит к алкашу (А) и говорит:""За-то что Вы нарушаете общественный порядок пройдёмте в отделение!""-(А) Никуда я не пойду, собака!-(М)Что Вы себе позволяете, с Вас за это оскорбление штраф 30 рублей!-(А)На возьми. (и протягивают ему сотню)-(М)Но у меня нет сдачи. Что будем делать?-(А)Немного почесав затылок в раздумьях, говорит:""Ну тогда- Ты СОБАКА!, СОБАКА! и на 10 рублей-Щенок!""
",8
медицинские,"Останавлиает сотрудник ГИБДД блондинку на шикарном авто, пересекшую двойную сплошную.- Сержант  Петров, девушка, выйдите, пожайлуста, из  машины... Вы пересекли двойную сплошную.Девушка не в понятках: - Что я сделала?- Девушка, вы пересекли двойную сплошную!!!- Что???- Девушка, опустите голову вниз!- .................- И что вы видите?- Что......???- Две полоски!!!!!!!- ОЙ!!!! Я беременна?????
",4
медицинские,"Мимо поста ДПС проезжает крутая иномарка на большой скорости и виляя по сторонам.Инспектор ДПС тормозит машину. Оттуда нетрезвой походкой выходит пьяная женщина. Она выплевывает к ногам инспектора конфету и говорит:- Не поверишь, мужик - с ликером попалась.
",4
медицинские,"Объявление на вокзале: Товарищи пассажиры, скорый поезд Москва-Барнаул отправляется со второго пути; повторяю для работников линейного отдела милиции - второй путь - это третий и четвертый рельс.
",-3
медицинские,"Следователь:- Родион, какова цель Вашей жизни?Раскольников:- Срубить побольше бабок!
",5
медицинские,"В семье полицейского родились двойняшки. Коллеги спрашивают:-Как же ты их различаешь?- Очень просто - по отпечаткам пальцев...
",5
криминальные,"- Ваня, у тебя кто-нибудь знакомый в милиции есть?
- Есть, Вован, дружбан мой.
- А что он там делает?
- Второй месяц в КПЗ сидит.
",18
медицинские,"Следователь - ""Быку"":- ""ЧИСТОСЕРДЕЧНОЕ признание"" пишется СЛИТНО!!!...
",-3
криминальные,"Заехал Запорожец в ""зад"" 600-го Мерина, из Мерседеса выходят четверо здоровых ""быков"" из Запора ели вылазит старичок - Ну - думает старик - встрял!
- Вообщем - говорит главный ""бык"" - жопа тебе старик, бить тебя будем. - Стоп - говорит старик - Мужики так не честно вас четверо, а я один
Главный ""бык"" подумал - Санёк, иди за него. Пошел Санёк за старика
- Ну, теперь давай драться
- Не - говорит старик - так тоже не честно, теперь нас двое, а вас трое. Ну тот опять думает. Подумал
- Витёк иди за них. Пошел и Витёк за старика
- А теперь драться будем
- Нее - старик говорит - теперь нас трое, а вас двое. Опять главный думает. подумал
- Так Санёк иди за нас обратно, и давай уже драться. Тут старик опять за свое - Нее мужики, опять не честно получается, теперь опять вас трое, а нас двое. Думает ""бык"" думает и - Мужик, езжай ка ты от сюда нахер, мы без тебя разберемся!
",9
медицинские,"После 20 съезда партии решил Никита Сергеевич Хрущёв выселить Сталина из мавзолея и похоронить его за рубежём. Звонит в Англию. Черчиль отвечает: - У нас уже похоронен Карл Маркс. Хватит нам одного. Звонит Хрущёв в США, Трумен отвечает, мол, у них есть уже менориал Линкольна. Везде Никите Сергеевичу отказали. Звонит он, наконец, в Израиль.  - Да, похороним, но имейте в виду, у нас на Святой Земле воскрешенья из мёртвых случаются. - Нет, нет, спасибо, мы уж лучше его в Союзе похороним...
",-1
криминальные,"Следователь с сочувствием смотрит на убитую горем вдову в траурном платье.
- Простите, - говорит он, - не могли бы вы мне сообщить последние слова вашего мужа?
- Могу, - всхлипывает вдова. - Он сказал: ""Хватит пугать меня этим ружьем! Ты из него и в ворота сарая не попадешь! "".
",15
медицинские,"Сидят трое в тюрьме. Беседуют, кто за что сидит. Один за убийство, другой заграбеж, а третий скромненько в уголочке сидит.- А ты-то за что сел?- Да я художник, картину нарисовал..- Ну и что?- Картина называется ""Ленин в Польше"".- Ну и что? Что такого особенного?- Да там я нарисовал шалаш, из шалаша торчат две пары пяток - Крупской иДзержинского..- А Ленин-то где???- А Ленин в Польше...
",3
криминальные,"В каждом городе есть очень ""веселые"" районы. Пришла под вечерок одна подруга (лет 40-45) к другой в гости. Посидели, поговорили, чайку попили, глянули - половина первого. Решили расходиться, а чтобы не страшно было, одна другую пошла до середины пути провожать, тем более что дома в пределах прямой видимости. Дошли до середины, стоят, прощаются. Тут из кустов появляется мужик, хватает одну из них за руку и тащит в кусты.
Та от страха онемела, потом вспомнила, что надо что-то орать, и заорала.
Эффект был потрясающим - мужик бросился наутек что было сил. Она оборачивается и видит, что подруга надрывается от смеха. Конечно, она возмутилась
- меня, мол, чуть не изнасиловали, а ты ржешь!
Подруга пришла в себя и спрашивает:
- Ты хоть помнишь, что орала?
- Не помню, а что?
- Да ты орала: УРА-А-А-А!!!
",24
медицинские,"Пригласили (Б)Брежнева на открытие новой дороги с докладом.(Б)Доогие товаищи кхе, сегодня мы откываем новую доогу кхе, раньше сдесь были одни колдоёбины.Ему советник подскозывает - Леонид Ильичь, выбоины.(Б) Вот тут со стогоны подсказывают што здесь даже когото и вы...ли.
",8
криминальные,"Ночь, сидят два киллера в засаде, ждут ""клиента"".
- Слушай, сколько уже времени?
- Да уже за полночь, а что?
- Волнуюсь я что-то, уж не случилось ли с ним чего...
",14
медицинские,"2 товарища приходят к Ленину.- Владимир Ильичь что сегодня будем есть? - А вы подите травки пожуйте. - Но мы же мычать будем.- Ну я же только что баночку меда навернулне жу-жу!
",-4
криминальные,"Семья Сидоровых нашла в почтовом ящике два билета на концерт и записку:
""Догадайтесь, от кого!""
Вернувшись с концерта, супруги обнаружили, что их квартиру обокрали.
К шкафу была приколота записка ""Ну что, теперь догадались?!""
",7
медицинские,"Hа перекрестке в зад 600-му мерсу врезается допотопный броневичок.  Из мерса выскакивает новый русский, пальцы веером, готов к бою. А из броневичка выходит дяденька в сером пальто и кепочке, с рыженькой бородкой. Щурит дяденька добрые-предобрые глазки, и говорит эHэРовцу: - А вы, батенька, не в тот анекдотик заехали. Феликс Эдмундович!   Расстреляйте, пожалуйста, этого буржуя.
",-1
криминальные,"Заседание суда по установлению отцовства. Судебный пристав:
- Ввиду того, что предполагаемый отец ребенка от участия в экспертизе отказался, пробы генетического материала были взяты у его родителей, т. е. бабушки и дедушки ребенка. Проведенная экспертиза показала, что предполагаемая бабушка (образец J3МS314) на самом деле является бабушкой ребенка, а предполагаемый дедушка (образец J4МS314) дедушкой ребенка не является. Пауза. Истерический женский голос в зале:
- Жорик! . . Жорик! . . Только без рук! . . Я тебе все объясню! . .
",7
медицинские,"- Товарищи! Революция отменяется!- Почему?- Товарищ Дзержинский на рыбалку уехал.- А что, без Дзержинского нельзя?- Да без него-то можно, без ""Авроры"" никак...
",3
криминальные,"- Товарищ милиционер! Только что у меня сняли золотые швейцарские часы!
- Почему же вы не кричали?
- Что, я сумасшедший? У меня во рту три золотых зуба.
",2
чёрный юмор,"Мужик приходит на работу с часовым опозданием, весь перебинтованный.
Начальник:
- Ты почему опоздал?
- Я упал с пятого этажа.
- И что, целый час падал?
",20
медицинские,"Ильич очень любил скромность. Бывало в столовой заметит, что ему в суп мяса не положили и все равно промолчит. Просто сядет рядом с Феликсом Эдмундовичем и вздохнет тихо. Феликс Эдмундович понятливый был и за справедливость всегда боролся. Справедливость эта боком выходила повару.
",0
криминальные,"На день рождения киллера приходит братва. Дарят длинную коробку с большим таким бантиком. Киллер радостный, срывает оберточную бумагу - а там футляр серебряный, под СВД.
- Хренассе! Ну, мужики! Класс!
- Фигня, ты открой!
Открывает - ахрененная винтовка, лазерный, оптический прицелы, титановые патроны. .
- Ну, друзья! ! Знали чем старика порадовать! Ух!
- Да ладно, ты достань винтовку.
Поднимает - там заказ на лимон. Фото, информация, все как положено.
- Дааа! Даже не знаю как вас благодарить!
- Это еще не все!
Спускаются в подвал, включают свет, там на стуле сидит заказанный мужик, связанный, рот скотчем заклеенный. Ну у именинника уже глаза горят, он за новую винтовку...
- Подожди, скотч отклей.
Тот снимает скотч. Мужик жалобным голосом:
- Хеппи бездэй ту ю!
",18
чёрный юмор,"- Официант! Почему в моей котлете волосы?
- Понимаете, у нас повар однорукий-он котлеты на груди лепит, вот и налипли...
Раздается дикий смех клиента:
- Представляю, чем он у вас перец фарширует!
",113
